COLE_CODIGO_COLEGIO;COLE_NOMBRE_SEDE;COLE_ES_BILINGUE
133801;INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL SAN GABRIEL;
33472;ESCUELA NORMAL SUPERIOR DE CARTAGENA DE INDIAS;0
8144;INSTITUCION EDUCATIVA ANDRES RODRIGUEZ B.;0
144139;INST PSICOPEDAG INTEGRAL                                                                            ;
144147;COLEGIO INTEGRADO LOS ANDES  CIANDES  - SEDE PRINCIPAL;
144154;COLEGIO INTEGRADO LOS ANDES CIANDES;
144170;GENERAL FRANCISCO DE PAULA SANTANDER;
144501;INSTITUCION EDUCATIVA RAFAEL URIBE URIBE;
91454;INSTITUCION EDUCATIVA LOS LIBERTADORES;0
43737;INST EDUC ALFREDO COCK ARANGO;0
65722;INST EDUC PEDREGAL;0
22665;GIMN JOSEFINA CASTRO DE ESCOBAR                                                                     ;0
111575;COLEGIO CAMPESTRE  SAN JUAN DE LA LOMA;0
144634;COLEGIO MIRALINDO;
144659;COL TOMAS CIPRIANO DE MOSQUERA ( INS EDUC DIST) - SEDE PRINCIPAL;
144667;COL TOMAS CIPRIANO DE MOSQUERA ( INS EDUC DIST) - SEDE PRINCIPAL;
144774;CENTRO EDUCATIVO INTEGRAL COLOMBIANO CEICO;
144782;LICEO ANGLO FRANCES;
144808;CENT EDUCATIVO INTEGRAL COLOMBIANO;
144840;GINASIO TECNICO NUEVO BOLIVAR - SEDE PRINCIPAL;
144915;I.E. LA LIBERTAD - SEDE PRINCIPAL;
144923;I.E. CERRITOS - SEDE PRINCIPAL;
144931;CE PARA JOVENES Y ADULTOS PALMIRA - SEDE PRINCIPAL;
144949;CENTRO EDUCATIVO PARA JOVENES Y ADULTOS PALMIRA CEPJAP;
145011;EL PENSIL;
145029;I.E. LA LAJA - SEDE PRINCIPAL;
145052;INSTITUTO TECNICO LIBERTAD INSTEL;
145060;COLEGIO COLOMBO BRITANICO;
145078;I. E. TAPARTO;
148635;I. E. R. BUCHADO MEDIO;
148676;CENT EDUC DIST EL VERJON BAJO;
149377;COLEGIO TOMAS CIPRIANO DE MOSQUERA;
149393;INSTITUTO TÉCNICO DE BARRANQUILLA - AOTEC - SEDE PRINCIPAL;
149401;INSTITUTO TECNICO DE BARRANQUILLA AOTEC;
149419; INSTITUTO SURAMERICANO SIMON BOLIVAR - SEDE PRINCIPAL;
9001;INSTITUCIÓN EDUCATIVA DPTAL  ALFONSO LÓPEZ PUMAREJO;0
103986;COLEGIO LUIS CAMACHO RUEDA;0
21584;FUND COL MAYOR DE SAN BARTOLOME                                                                     ;0
21980;COL SAN LUIS DE LA POLICIA NAL - SEDE PRINCIPAL;0
16014;I.E.T. MARTIN POMALA - SEDE PRINCIPAL;0
2048;INSTITUTO CRISTO REY                                        ;0
45146;COL JOSE JOAQUIN VARGAS                                                                             ;0
10421;ESCUELA NORMAL SAN PEDRO ALEJANDRINO;0
14258;COLEGIO SANTA TERESITA DEL NIÑO JESUS;0
109314;SEDE 1 CIUDAD LUZ;0
60657;I.E. JESUS MARIA AGUIRRE CHARRY - SEDE PRINCIPAL;0
135228;ONG EDUCAR ESC DE CAPAC PETROLERA ECAPETROL - SEDE PRINCIPAL;
135244;COLEGIO JOSE MANUEL RESTREPO;
135251;COLEGIO METROPOLITANO REAL DE MINAS   ;
140699;ESCUELA RURAL EL REGADERO;0
140723;CENT EDUC DIST ATAHUALPA;0
140764;COLEGIO JESUS MAESTRO;0
140780;INSTITUCION EDUCATIVA DE EVITAR;0
140822;INSTITUTO TECNICO INDUSTRIAL;0
130419;INSTITUCION EDUCATIVA GENERAL ALFREDO VASQUEZ COBO;
124032;LIC ANGLO DEL VALLE;
124149;SANTA TERESITA DEL NIÑO JESUS;
124164;INST. EDU. LAS FLORES;
125021;COL ACAD EL POBLADO;
130583;INSTITUTO NACIONAL DEL SABER INSA (ANTES GUZMABO) - SEDE PRINCIPAL;
121822;INSTITUTO TECNICO JUAN PABLO I - PAZ Y FUTURO;0
123075;CENT EDUC DIST EL CORTIJO;
123083;COL ADVENTISTA DEL NORTE - SEDE PRINCIPAL;
